path,kind,sha256,events,route_length
external_evidence_gate_root\drop_external_logs_here\contradiction_4.cadical.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
external_evidence_gate_root\drop_external_logs_here\contradiction_4.cadical.stdout.txt,stdout,14e6aec76a1cd809265d00da02b5ab84370aa265507eb994fb9b639a5d1c12d0,1,1
external_evidence_gate_root\drop_external_logs_here\contradiction_4.kissat.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
external_evidence_gate_root\drop_external_logs_here\contradiction_4.kissat.stdout.txt,stdout,4e8fb58c267433e2a023a5382da2c2b259dc0ff3f6755722de713f21f9f22098,1,1
external_evidence_gate_root\drop_external_logs_here\contradiction_4.minisat.model.txt,stdout,8e47e39240b5b347f444074f97e7ab4b4c11d3f534469b5cb23f4b6d2f7390df,1,1
external_evidence_gate_root\drop_external_logs_here\contradiction_4.minisat.stderr.txt,stdout,ef9bd86704239c757fdf08ea0b6595bc481b803dadb9f19577bf22c6ba44045a,0,0
external_evidence_gate_root\drop_external_logs_here\contradiction_4.minisat.stdout.txt,stdout,5e165aa9d117fee115e16085c4cc8fd62dde61a0b2c7b24224e114a9cd49bf97,1,1
external_evidence_gate_root\drop_external_logs_here\horn_chain_12.cadical.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
external_evidence_gate_root\drop_external_logs_here\horn_chain_12.cadical.stdout.txt,stdout,6f518bda25fe46a94faceda017a046a07f67a08ea79a703e036d7070051f92e2,1,1
external_evidence_gate_root\drop_external_logs_here\horn_chain_12.kissat.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
external_evidence_gate_root\drop_external_logs_here\horn_chain_12.kissat.stdout.txt,stdout,b4868b4b5fe8a0dcfe5f0951f334a8388cdb1c731c345b3ee36fa47de58d1002,1,1
external_evidence_gate_root\drop_external_logs_here\horn_chain_12.minisat.model.txt,stdout,8e47e39240b5b347f444074f97e7ab4b4c11d3f534469b5cb23f4b6d2f7390df,1,1
external_evidence_gate_root\drop_external_logs_here\horn_chain_12.minisat.stderr.txt,stdout,5ece147bd8ee5bad2ec78fc818b14edc305455d6ddd9e7f3b3a6438687e3e035,0,0
external_evidence_gate_root\drop_external_logs_here\horn_chain_12.minisat.stdout.txt,stdout,5e165aa9d117fee115e16085c4cc8fd62dde61a0b2c7b24224e114a9cd49bf97,1,1
external_evidence_gate_root\drop_external_logs_here\horn_chain_8.cadical.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
external_evidence_gate_root\drop_external_logs_here\horn_chain_8.cadical.stdout.txt,stdout,b600529f9bf782fe9673bfaf89aaf7379af3484323db055ad89382cb86f5a983,1,1
external_evidence_gate_root\drop_external_logs_here\horn_chain_8.kissat.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
external_evidence_gate_root\drop_external_logs_here\horn_chain_8.kissat.stdout.txt,stdout,abed736c80cb5e526b8e143b5cd317550c0c1af1b2b0e5c56fec09d882b0aeca,1,1
external_evidence_gate_root\drop_external_logs_here\horn_chain_8.minisat.model.txt,stdout,8e47e39240b5b347f444074f97e7ab4b4c11d3f534469b5cb23f4b6d2f7390df,1,1
external_evidence_gate_root\drop_external_logs_here\horn_chain_8.minisat.stderr.txt,stdout,f321b79ac3b6d6c2bdd0f9c5f7b20a0a564d85d86c0ca4e32f9ea2b9d3c771c2,0,0
external_evidence_gate_root\drop_external_logs_here\horn_chain_8.minisat.stdout.txt,stdout,5e165aa9d117fee115e16085c4cc8fd62dde61a0b2c7b24224e114a9cd49bf97,1,1
external_evidence_gate_root\drop_external_logs_here\php_3_2.cadical.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
external_evidence_gate_root\drop_external_logs_here\php_3_2.cadical.stdout.txt,stdout,9b1a642553fefa72fe1005b0951cb6778e4aae680b9bfeb9f6a9981a97eaab84,1,1
external_evidence_gate_root\drop_external_logs_here\php_3_2.kissat.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
external_evidence_gate_root\drop_external_logs_here\php_3_2.kissat.stdout.txt,stdout,786a817b74199c03d7e6e316cdf7117d7034d6b1da6c00597eeaff9a81e002c3,0,0
external_evidence_gate_root\drop_external_logs_here\php_3_2.minisat.model.txt,stdout,8e47e39240b5b347f444074f97e7ab4b4c11d3f534469b5cb23f4b6d2f7390df,1,1
external_evidence_gate_root\drop_external_logs_here\php_3_2.minisat.stderr.txt,stdout,85004d406f77d4b9930e1b0f5aa84a19adf90cf853cf4968badaea68e8651282,0,0
external_evidence_gate_root\drop_external_logs_here\php_3_2.minisat.stdout.txt,stdout,5e165aa9d117fee115e16085c4cc8fd62dde61a0b2c7b24224e114a9cd49bf97,1,1
external_evidence_gate_root\drop_external_logs_here\xor_unsat.cadical.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
external_evidence_gate_root\drop_external_logs_here\xor_unsat.cadical.stdout.txt,stdout,394f44a79566223f5453acb2d407088be702de40152f9426949bbc4bd6f7942a,1,1
external_evidence_gate_root\drop_external_logs_here\xor_unsat.kissat.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
external_evidence_gate_root\drop_external_logs_here\xor_unsat.kissat.stdout.txt,stdout,5b6cf0f357939a929aacde724388d2847c052118d267a767468e20b9d60d20c7,0,0
external_evidence_gate_root\drop_external_logs_here\xor_unsat.minisat.model.txt,stdout,8e47e39240b5b347f444074f97e7ab4b4c11d3f534469b5cb23f4b6d2f7390df,1,1
external_evidence_gate_root\drop_external_logs_here\xor_unsat.minisat.stderr.txt,stdout,94d150422f7d3d11fb91f59b33dedf0918fd018c5c9f48ba904dba319ab45942,0,0
external_evidence_gate_root\drop_external_logs_here\xor_unsat.minisat.stdout.txt,stdout,5e165aa9d117fee115e16085c4cc8fd62dde61a0b2c7b24224e114a9cd49bf97,1,1
