removed_index,removed,added_index,added,support,coefficient_sum,coefficient_abs_sum,vector_sha256
0,B-,1,B+,33,6336,6336,933c46a30c7c086e778c480f13cc6c079ac1819358a97f714cdc66a7b8c4e263
0,B-,2,V-,33,4752,4752,1c584b6f88b5e310981e7fe437e7781e89d6d3dce473fbbab707beec1accfb5a
0,B-,3,V+,33,19008,19008,4fbe6318fd292a8c8e69c740ed0c7b4fc534dbac1e97dd41778242b1cc616fc5
0,B-,4,S-,33,16896,16896,c9cad3aeaa64daa257b8cb496dfb4536c0732bb71aff2dd2010da2b0a50aa393
0,B-,5,S+,33,25344,25344,06cc627a04df28f0ad2cbfc7c71146805aab00e17154adcb9301291ffec1a621
1,B+,0,B-,16,6144,6144,a0d3eb5549a1d47dcd5ff241a11ae4de05048c3ce6502bbb35596e3dcc532ad7
1,B+,2,V-,16,2304,2304,d03a6a39c5853c875ce50f4d1f6e01e6e6dcf39032935b914bb11f8c9607c996
1,B+,3,V+,16,9216,9216,b14251b97ed7a4fe2aa9ac000aa1dd70630695bc2d35b656665940e022e213be
1,B+,4,S-,16,8192,8192,038404e3fcc94f26124431435514568e4947cdb6d773d767ca98f11a2cbf3616
1,B+,5,S+,16,12288,12288,27ef3dc3d30e812a22fa18aa2883c987d171bc0c1b9822a0e2184a3c65085d3e
2,V-,0,B-,14,5376,5376,04d9b140b305726c1cc3413b53b3a2cca2aea60ce9c1a88999e19a3f76cda8fb
2,V-,1,B+,14,2688,2688,8ebe36a68194fe54ac578da5751e512721ed5346169a7c9f0cad2f4af14050f3
2,V-,3,V+,14,8064,8064,5392a0d8ca8c97a8fd7bb61bcb0d2ca27224ab37565ccb17c32580711529a672
2,V-,4,S-,14,7168,7168,5218c0f0d0dbb768a3dfc5150702aef827c952c2ea642738b54d913895e53398
2,V-,5,S+,14,10752,10752,bafdb9c25ba3ce8ccea1a43a32b28a33e9cf98fbcafcc67b16c1c11bd59774f4
3,V+,0,B-,86,33024,33024,42a26d22feec500615a4b9e2b5dc9e90cd25ff3669f461cd318e80f6568252bb
3,V+,1,B+,86,16512,16512,cb2b25b8d2453e691402752d94230c306d20e711c4e5b61fea6af6399914a81d
3,V+,2,V-,86,12384,12384,c01214ba5976ae70a6d23c9e72079b9d6a3fefcbf8dd24965556c57cd5c2e61b
3,V+,4,S-,86,44032,44032,f8903b267b7ff04d0e25f3ef829c5bf37ac0c9bb10c8d4dfafb63fb2429ab425
3,V+,5,S+,86,66048,66048,500ef1791522d804f72e8472816478747febce8132cdfa24093343ef4ac230d8
4,S-,0,B-,44,16896,16896,3b6e309af8ee014edc1f891e8cfc460ad822e28e0f68ba7b887179620d97c1bc
4,S-,1,B+,44,8448,8448,5f9b30b564f57b2937061bb95f510d309b307a226b93d49a5ee741d82f83f1e0
4,S-,2,V-,44,6336,6336,2e6225f65f44d31a7ccb33f81b9182e6a1a4af80a8b7667871b17134167b14be
4,S-,3,V+,44,25344,25344,a7ae57730a30716a401c4fc5ca078f105d6ed7e3490ad1e39e56b4bcbf9ed597
4,S-,5,S+,44,33792,33792,682d09974dd31d704eb7a68f33a76f19ed8dfe3cf06275425b0c458fba722b9c
5,S+,0,B-,104,39936,39936,233b067924fd785bad13a93373ef02657cbd79784de70e465f8ae50a956218dd
5,S+,1,B+,104,19968,19968,d0e2c4cb11ed44a0b93e8c85b7df0e48e6538ffd638bb2d780b490fffa7fad60
5,S+,2,V-,104,14976,14976,6c80cfc3fa751c40676e910b6118d0f1b90d36da8e9ed84c5e67c7ceb2beff55
5,S+,3,V+,104,59904,59904,7ff30535d2e064ee361f4e0a8fa08e1c17cbf4b42af153c8c4cc0c5cfb7fe78e
5,S+,4,S-,104,53248,53248,9adfe8bb4a4aff786b89cc946a70aa370e95b6fbf9d1b413ef1a6b949b43d404
