component,coefficient,energy_fraction_vs_A6
u0_to_u0,482609.40283438517,0.376687423380882
uV_to_u0,404736.8474380263,0.26493238631603805
u0_to_uV,357133.59141228185,0.20627707498897638
uV_to_uV,300102.1033565665,0.14565575235323974
uBS_to_u0,2.473825588822365e-09,9.897550290282877e-30
uBS_to_uV,1.8408172763884068e-09,5.480383187981977e-30
u0_to_uBS,-9.022187441587448e-10,1.3164769313441996e-30
uV_to_uBS,-7.566995918750763e-10,9.260545323503423e-31
uBS_to_uBS,-1.4551915228366852e-11,3.4247578859110287e-34
