,B-,B+,V-,V+,S-,S+
BLUFF_ENGINE,0.4728260869565219,0.4728260869565219,0.013586956521739099,0.013586956521739099,0.013586956521739099,0.013586956521739099
CURVATURE_INJECTOR,0.0,0.0,0.0,0.0,0.0,0.0
DIVERGENCE_TAX,0.0,0.0,0.0,0.0,0.0,0.0
EXTRACTOR_LURE,0.5,0.5,0.0,0.0,0.0,0.0
FACE12_DENIAL,0.0,0.0,0.0,0.0,0.0,0.0
FACE15_DENIAL,0.0,0.0,0.0,0.0,0.0,0.0
FACE17_DENIAL,0.0,0.0,0.0,0.0,0.0,0.0
HOMOLOGY_PUNCTURE,0.0,0.0,0.0,0.0,0.0,0.0
H_MASK_SPLIT,0.0,0.0,0.0,0.0,0.0,0.0
KERNEL_DRIP,0.0,0.0,0.0,0.0,0.0,0.0
KERNEL_SPIKE,0.0,0.0,0.0,0.0,0.0,0.0
MONODROME_CONTAMINATOR,0.49029126213592245,0.49029126213592245,0.004854368932038806,0.004854368932038806,0.004854368932038806,0.004854368932038806
NONE,0.0,0.0,0.0,0.0,0.0,0.0
OMEGA_LOCK,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_JABBER,0.44082840236686394,0.44082840236686394,0.029585798816567983,0.029585798816567983,0.029585798816567983,0.029585798816567983
RANK4_TAX,0.0,0.0,0.0,0.0,0.0,0.0
