source_jabber,assigned_jabber,cost_L2
BLUFF_ENGINE,BLUFF_ENGINE,0.0
CURVATURE_INJECTOR,CURVATURE_INJECTOR,0.0
DIVERGENCE_TAX,DIVERGENCE_TAX,0.0
EXTRACTOR_LURE,EXTRACTOR_LURE,0.0
FACE12_DENIAL,FACE12_DENIAL,0.0
FACE15_DENIAL,FACE15_DENIAL,0.0
FACE17_DENIAL,FACE17_DENIAL,0.0
HOMOLOGY_PUNCTURE,HOMOLOGY_PUNCTURE,0.0
H_MASK_SPLIT,H_MASK_SPLIT,0.0
KERNEL_DRIP,KERNEL_DRIP,0.0
KERNEL_SPIKE,KERNEL_SPIKE,0.0
MONODROME_CONTAMINATOR,MONODROME_CONTAMINATOR,0.0
NONE,NONE,0.0
OMEGA_LOCK,OMEGA_LOCK,0.0
RANDOM_JABBER,RANDOM_JABBER,0.0
RANK4_TAX,RANK4_TAX,0.0
