cut_window_id,transfer_edge_id,endpoint_state_id,endpoint_side_code,window_rank,edit_position,block_symbol_0_id,block_symbol_1_id,block_symbol_2_id,block_symbol_3_id,cut_flux_share_x1e12
0,2437,794,1,2,3,2,1,4,5,21415111
1,2437,794,1,3,3,1,4,5,1,21415111
2,2437,794,1,4,3,4,5,1,1,21415111
3,2437,794,1,5,3,5,1,1,5,21415111
4,2437,825,-1,2,3,2,1,4,5,21415110
5,2437,825,-1,3,3,1,4,5,5,21415110
6,2437,825,-1,4,3,4,5,5,1,21415110
7,2437,825,-1,5,3,5,5,1,1,21415110
8,2449,798,1,3,4,1,4,5,1,21415111
9,2449,798,1,4,4,4,5,1,2,21415111
10,2449,798,1,5,4,5,1,2,5,21415111
11,2449,798,1,6,4,1,2,5,2,21415111
12,2449,830,-1,3,4,1,4,5,5,21415110
13,2449,830,-1,4,4,4,5,5,2,21415110
14,2449,830,-1,5,4,5,5,2,5,21415110
15,2449,830,-1,6,4,5,2,5,2,21415110
16,2463,802,1,3,4,1,4,5,1,21415111
17,2463,802,1,4,4,4,5,1,2,21415111
18,2463,802,1,5,4,5,1,2,5,21415111
19,2463,802,1,6,4,1,2,5,2,21415111
20,2463,831,-1,3,4,1,4,5,5,21415110
21,2463,831,-1,4,4,4,5,5,2,21415110
22,2463,831,-1,5,4,5,5,2,5,21415110
23,2463,831,-1,6,4,5,2,5,2,21415110
24,2470,809,1,3,4,1,4,5,1,21415111
25,2470,809,1,4,4,4,5,1,2,21415111
26,2470,809,1,5,4,5,1,2,5,21415111
27,2470,809,1,6,4,1,2,5,5,21415111
28,2470,832,-1,3,4,1,4,5,5,21415110
29,2470,832,-1,4,4,4,5,5,2,21415110
30,2470,832,-1,5,4,5,5,2,5,21415110
31,2470,832,-1,6,4,5,2,5,5,21415110
32,2474,811,1,3,4,1,4,5,1,21415111
33,2474,811,1,4,4,4,5,1,2,21415111
34,2474,811,1,5,4,5,1,2,5,21415111
35,2474,811,1,6,4,1,2,5,5,21415111
36,2474,833,-1,3,4,1,4,5,5,21415110
37,2474,833,-1,4,4,4,5,5,2,21415110
38,2474,833,-1,5,4,5,5,2,5,21415110
39,2474,833,-1,6,4,5,2,5,5,21415110
40,2478,812,1,3,4,1,4,5,1,21415111
41,2478,812,1,4,4,4,5,1,2,21415111
42,2478,812,1,5,4,5,1,2,5,21415111
43,2478,812,1,6,4,1,2,5,5,21415111
44,2478,834,-1,3,4,1,4,5,5,21415110
45,2478,834,-1,4,4,4,5,5,2,21415110
46,2478,834,-1,5,4,5,5,2,5,21415110
47,2478,834,-1,6,4,5,2,5,5,21415110
