intervention_id,intervention_kind,block_code_a,block_code_b,partner_near_word_count,partner_unrepaired_word_count,state_count,new_state_count,edge_count,new_edge_count,cut_edge_count,old_cut_edge_still_cut_count,old_cut_edge_same_side_count,promoted_cut_edge_count,promoted_only_cut_edge_count,lambda_2_x1e12,cut_conductance_x1e12,conductance_reduction_x1e12,support_changed_flag,selected_best_flag
0,0,2114,-1,0,0,945,85,3045,474,6,6,0,6,0,1972362000,2645503000,1683501000,0,0
1,1,2114,1145,113,84,947,87,3048,477,6,6,0,6,0,1971088000,2645503000,1683501000,0,0
2,1,2114,5211,18,8,945,85,3045,474,6,6,0,6,0,1972362000,2645503000,1683501000,0,0
3,1,2114,1143,7,0,945,85,3045,474,6,6,0,6,0,1972362000,2645503000,1683501000,0,0
4,1,2114,1144,3,3,945,85,3045,474,6,6,0,6,0,1972362000,2645503000,1683501000,0,0
5,1,2114,1211,2,0,945,85,3045,474,6,6,0,6,0,1972362000,2645503000,1683501000,0,0
6,1,2114,1452,102,124,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0
7,1,2114,5521,10,69,971,111,3105,534,13,6,0,13,7,2407679000,5501481000,-1172477000,0,0
8,1,2114,1431,7,0,945,85,3045,474,6,6,0,6,0,1972362000,2645503000,1683501000,0,0
9,1,2114,4521,5,112,982,122,3129,558,11,6,0,11,5,2456465000,4670913000,-341909000,0,0
10,1,2114,1445,3,6,945,85,3045,474,6,6,0,6,0,1972362000,2645503000,1683501000,0,0
11,1,2114,1521,2,16,951,91,3050,479,6,6,0,6,0,1971472000,2645503000,1683501000,0,0
12,1,2114,4121,2,2,946,86,3047,476,6,6,0,6,0,1971415000,2645503000,1683501000,0,0
13,1,2114,2521,1,16,949,89,3051,480,6,6,0,6,0,1982913000,2645503000,1683501000,0,0
14,1,2114,5221,1,15,947,87,3048,477,6,6,0,6,0,1975484000,2645503000,1683501000,0,0
15,2,2114,1451,11,12,946,86,3046,475,6,6,0,6,0,1972362000,2645503000,1683501000,0,0
16,2,2114,4512,0,8,946,86,3046,475,6,6,0,6,0,1972362000,2645503000,1683501000,0,0
17,2,2114,4552,0,0,945,85,3045,474,6,6,0,6,0,1972362000,2645503000,1683501000,0,0
18,2,2114,5125,0,17,954,94,3061,490,7,6,0,7,1,2059789000,3085059000,1243945000,0,0
19,2,2114,1255,0,31,958,98,3067,496,7,6,0,7,1,2083939000,3076923000,1252081000,0,0
20,2,2114,5255,0,25,952,92,3058,487,6,6,0,6,0,1969615000,2615519000,1713485000,0,1
21,2,2114,1252,0,10,949,89,3051,480,6,6,0,6,0,1982913000,2645503000,1683501000,0,0
22,2,2114,2145,0,91,981,121,3125,554,11,6,0,11,5,2479125000,4670913000,-341909000,0,0
23,2,2114,5252,0,11,949,89,3052,481,6,6,0,6,0,1973104000,2636204000,1692800000,0,0
24,2,2114,4511,0,0,945,85,3045,474,6,6,0,6,0,1972362000,2645503000,1683501000,0,0
25,2,2114,4551,0,0,945,85,3045,474,6,6,0,6,0,1972362000,2645503000,1683501000,0,0
26,2,2114,5115,0,1,946,86,3047,476,7,6,0,7,1,1989678000,3085059000,1243945000,0,0
27,2,2114,5511,0,4,946,86,3047,476,7,6,0,7,1,1989678000,3085059000,1243945000,0,0
