observable_id,observable_code,value,scale_code
0,0,144,0
1,1,32768,0
2,2,19618592,0
3,3,274598157,0
4,4,4554752,0
5,5,4482624,0
6,6,72128,0
7,7,67402,0
8,8,6,0
9,9,11213312,0
10,10,10515968,0
11,11,2601984,0
12,12,2447744,0
13,13,4213120,0
14,14,1815040,0
15,15,7541600,0
16,16,7982592,0
17,17,6796608,0
18,18,4589696,0
19,19,1667584,0
20,20,492736,0
21,21,492736,0
22,22,492736,0
23,23,0,0
24,24,0,0
25,25,1,0
26,26,1,0
27,27,1,0
28,28,1,0
29,29,1,0
30,30,1,0
31,31,1,0
32,32,1,0
33,33,1,0
34,34,0,0
35,35,0,0
36,36,15,0
37,37,632,0
38,38,3027,0
39,39,5629,0
40,40,4496,0
41,41,20,0
42,42,467,0
43,43,67,0
44,44,79,0
45,45,15526,0
46,46,19367,0
47,47,0,0
48,48,2335598,0
49,49,1,0
50,50,47,0
51,51,57,0
52,52,79,0
53,53,110,0
54,54,128,0
55,55,2,0
56,56,4756,0
57,57,4757,0
58,58,2644672,0
59,59,30854,0
60,60,2644672,0
61,61,30854,0
62,62,10529536,0
63,63,75514,0
64,64,492736,0
65,65,2335598,0
66,66,4,0
67,67,7735158,0
68,68,1,0
69,69,1,0
70,70,1,0
71,71,1,0
72,72,1,0
