owner_rank,basis_id,weak_class_code,component_id,owner_cell_count,graph_degree,weighted_degree,support_occurrence_count,mult_occurrence_count,induced_degree
0,1,11,0,5280,5,284,403459488,2043445248,3
1,5,11,0,8,4,18,942176,8994816,3
2,7,11,0,96023,4,864,1601231360,9154068480,0
3,14,11,0,9,5,20,1166288,11280384,3
4,19,11,0,2760,6,296,622076928,4287725568,3
5,20,11,0,774,8,122,552532592,2807820288,8
6,21,11,0,1,4,4,111360,1290240,3
7,30,11,0,18,4,38,18489088,126787584,3
8,31,11,0,2,4,6,2053376,11526144,4
9,32,11,0,8896,6,342,551981056,1911029760,5
10,33,11,0,40,4,82,25541104,144285696,4
11,34,11,0,1,4,4,791184,2875392,4
12,35,11,0,2,4,6,1392512,7741440,4
13,36,11,0,1,4,4,71424,2285568,3
14,44,11,0,2860,9,218,13442304,283115520,6
15,47,11,0,1,4,4,2352,147456,3
16,50,11,0,258,6,98,10138448,205996032,5
17,54,11,0,6,5,14,132352,1769472,4
18,59,11,0,1500,8,190,38928000,585105408,4
19,60,11,0,168,6,92,3519488,91422720,4
20,61,11,0,3,4,8,10752,442368,3
21,63,11,0,55708,5,1542,1037805440,11871977472,1
22,66,11,0,18,4,38,1067808,17301504,2
23,67,11,0,2,4,6,117600,1572864,2
24,70,11,0,41,4,84,396704,17842176,3
25,71,11,0,1,4,4,8624,442368,4
26,72,11,0,5,7,12,59136,2654208,7
27,73,11,0,1,4,4,2352,147456,3
28,83,11,0,55708,3,1542,2030531328,12697731072,2
29,89,11,0,3344,8,240,404059648,1358954496,5
30,103,11,0,9680,8,528,391123456,1019215872,3
31,121,11,0,817,6,124,126620000,323039232,4
32,122,11,0,19,4,40,405344,2543616,3
33,126,11,0,175920,5,1706,4271578880,15373172736,2
34,136,11,0,36,4,74,4011984,11722752,2
35,137,11,0,7,4,16,754128,2322432,3
36,138,11,0,1,4,4,15264,110592,2
37,146,11,0,3260,8,366,23307296,385744896,4
38,148,11,0,121678,5,1632,890378544,8953528320,5
39,149,11,0,3,4,8,20384,995328,4
40,152,11,0,1456,3,1458,2517600,35831808,3
41,153,11,0,2,4,6,29792,663552,4
42,157,11,0,1,4,4,3136,331776,4
43,158,11,0,3380,11,378,74121408,898891776,6
44,169,11,0,1454,3,1456,1372136,23003136,3
45,170,11,0,22,5,20,839496,11943936,5
46,171,11,0,133,8,52,4349552,65138688,7
47,172,11,0,1,4,4,2352,110592,3
48,173,11,0,19,4,40,868584,6782976,3
49,174,11,0,1,4,4,33624,294912,2
50,190,12,0,197910,5,1736,3146764032,13381926912,2
