flow_edge_id,component_id,active_basis_id,inactive_basis_id,source0_boundary_count,source1_boundary_count,boundary_count
0,0,1,0,0,119,119
1,0,1,2,0,1,1
2,0,5,8,0,8,8
3,0,14,8,0,3,3
4,0,14,22,0,6,6
5,0,19,4,0,128,128
6,0,19,13,0,9,9
7,0,19,18,0,1,1
8,0,21,22,0,1,1
9,0,30,29,0,1,1
10,0,32,57,64,0,64
11,0,36,37,0,1,1
12,0,44,42,0,58,58
13,0,44,55,0,7,7
14,0,44,57,0,65,65
15,0,47,55,0,1,1
16,0,50,57,0,6,6
17,0,54,55,0,6,6
18,0,59,53,0,72,72
19,0,59,57,0,73,73
20,0,59,65,0,3,3
21,0,59,68,0,2,2
22,0,60,57,0,2,2
23,0,60,69,0,2,2
24,0,61,74,0,3,3
25,0,66,65,0,1,1
26,0,66,77,18,0,18
27,0,67,68,0,1,1
28,0,67,77,2,0,2
29,0,70,69,0,1,1
30,0,73,74,0,1,1
31,0,89,79,0,74,74
32,0,89,88,0,76,76
33,0,89,90,0,2,2
34,0,103,95,0,200,200
35,0,103,96,0,2,2
36,0,103,97,0,1,1
37,0,103,108,0,220,220
38,0,103,123,0,17,17
39,0,121,108,0,15,15
40,0,121,135,0,4,4
41,0,122,123,0,19,19
42,0,136,135,0,1,1
43,0,136,155,36,0,36
44,0,137,155,7,0,7
45,0,138,139,0,1,1
46,0,138,155,1,0,1
47,1,7,4,0,128,128
48,1,7,9,732,0,732
49,1,7,10,1,0,1
50,1,7,11,0,3,3
51,2,63,25,731,0,731
52,2,63,26,2,0,2
53,2,63,53,0,72,72
54,2,63,64,0,4,4
55,2,83,84,0,76,76
56,2,126,102,0,220,220
57,2,126,116,0,19,19
58,2,126,127,0,1,1
59,2,146,127,15,0,15
60,2,146,128,1,0,1
61,2,146,129,3,0,3
62,2,146,130,1,0,1
63,2,158,131,18,0,18
64,2,158,132,1,0,1
65,2,158,133,1,0,1
66,2,158,147,0,164,164
67,2,158,159,0,5,5
68,2,171,193,19,0,19
69,2,172,193,1,0,1
70,2,173,199,19,0,19
71,2,174,175,0,1,1
72,2,174,199,1,0,1
73,2,190,193,0,270,270
74,2,190,201,1,0,1
75,2,190,212,732,0,732
