horizon_id,sample_count,sum_state_count,component_path_count,raw_support_path_lift_digits,raw_support_path_lift_mod_1000000007,raw_support_path_lift_mod_1000000009,raw_coeff_path_lift_digits,raw_coeff_path_lift_mod_1000000007,raw_coeff_path_lift_mod_1000000009,long_tens_gap_horizon_flag,existing_sum_profunctor_flag,compressed_raw_owner_quotient_flag,raw_support_total_equal_flag,raw_coeff_total_equal_flag
0,1,3,3,7,1096591,1096591,7,1985840,1985840,0,1,0,1,1
1,2,5,9,13,511812867,511810463,13,560477999,560470113,0,1,0,1,1
2,3,7,27,19,379707654,742380419,19,621743027,959182893,0,1,0,1,1
3,4,9,81,25,993092833,678724846,26,164094906,739092073,0,1,0,1,1
4,5,11,243,31,655209191,550901439,32,225849978,589036858,0,1,0,1,1
5,6,13,729,37,496938409,554457432,38,917172013,943563132,0,1,0,1,1
6,7,15,2187,43,183049153,24342195,45,857546428,393186995,0,1,0,1,1
7,8,17,6561,49,52332313,431717008,51,986658877,455123546,0,1,0,1,1
8,9,19,19683,55,143043274,981258984,57,650586258,534454422,1,0,1,1,1
9,10,21,59049,61,965780921,760839193,63,205543000,959832420,1,0,1,1,1
10,11,23,177147,67,658526849,403982102,70,508262775,595778143,1,0,1,1,1
11,12,25,531441,73,610816821,133227255,76,542040704,56847040,1,0,1,1,1
12,13,27,1594323,79,223868499,807472850,82,104096518,124897599,1,0,1,1,1
13,14,29,4782969,85,179468465,452085147,89,27858087,645765926,1,0,1,1,1
14,15,31,14348907,91,502125194,498972109,95,703100833,794946357,1,0,1,1,1
15,16,33,43046721,97,964759279,319055907,101,748431005,259377156,1,0,1,1,1
