sample_count,epsilon_id,eps_num,eps_den,tail_prob_num_digits,tail_prob_den_digits,tail_prob_num_mod_1000000007,tail_prob_den_mod_1000000007,tail_prob_num_mod_1000000009,tail_prob_den_mod_1000000009,cheb_bound_num_digits,cheb_bound_den_digits,cheb_bound_num_mod_1000000007,cheb_bound_den_mod_1000000007,cheb_bound_num_mod_1000000009,cheb_bound_den_mod_1000000009,gap_num_digits,gap_den_digits,gap_num_mod_1000000007,gap_den_mod_1000000007,gap_num_mod_1000000009,gap_den_mod_1000000009,gap_nonnegative_flag
1,0,1,2,2,2,10,13,10,13,3,3,376,169,376,169,3,3,246,169,246,169,1
1,1,1,3,1,1,1,1,1,1,3,3,846,169,846,169,3,3,677,169,677,169,1
1,2,1,4,1,1,1,1,1,1,4,3,1504,169,1504,169,4,3,1335,169,1335,169,1
2,0,1,2,2,3,19,107,19,107,5,5,13270,11449,13270,11449,5,5,11237,11449,11237,11449,1
2,1,1,3,2,3,83,107,83,107,5,5,59715,22898,59715,22898,5,5,41953,22898,41953,22898,1
2,2,1,4,2,3,83,107,83,107,5,5,53080,11449,53080,11449,5,5,44199,11449,44199,11449,1
3,0,1,2,2,3,65,841,65,841,7,7,1317800,2121843,1317800,2121843,7,7,1153805,2121843,1153805,2121843,1
3,1,1,3,3,3,137,841,137,841,6,6,988350,707281,988350,707281,6,6,873133,707281,873133,707281,1
3,2,1,4,3,3,137,841,137,841,7,7,5271200,2121843,5271200,2121843,7,7,4925549,2121843,4925549,2121843,1
4,0,1,2,3,4,427,6635,427,6635,8,8,29698823,88046450,29698823,88046450,8,8,24032533,88046450,24032533,88046450,1
4,1,1,3,3,4,427,6635,427,6635,9,9,267289407,352185800,267289407,352185800,9,9,244624247,352185800,244624247,352185800,1
4,2,1,4,4,4,1003,6635,1003,6635,8,8,59397646,44023225,59397646,44023225,8,8,52742741,44023225,52742741,44023225,1
5,0,1,2,4,5,1313,52705,1313,52705,11,11,529810205,445425142,529810179,445425004,11,11,799768594,445425142,799768572,445425004,1
5,1,1,3,4,5,3041,52705,3041,52705,11,11,442072956,445425142,442072896,445425004,11,11,435175359,445425142,435175307,445425004,1
5,2,1,4,4,5,7649,52705,7649,52705,11,11,119240806,445425142,119240698,445425004,11,11,40727251,445425142,40727163,445425004,1
6,0,1,2,4,6,9187,420323,9187,420323,11,12,148218835,14269277,148218705,14268217,11,12,563696716,14269277,563696610,14268217,1
6,1,1,3,5,6,23011,420323,23011,420323,11,12,722328256,342846187,722328062,342845481,11,12,378223283,342846187,378223127,342845481,1
6,2,1,4,5,6,23011,420323,23011,420323,12,12,592875340,14269277,592874820,14268217,12,12,576717884,14269277,576717422,14268217,1
7,0,1,2,5,7,27689,3358249,27689,3358249,14,15,544787313,977085758,544693871,975980532,14,15,203547716,977085758,203463386,975980532,1
7,1,1,3,6,7,179753,3358249,179753,3358249,15,15,475771449,977085758,475561203,975980532,14,15,364686149,977085758,364535061,975980532,1
7,2,1,4,6,7,179753,3358249,179753,3358249,15,15,179149238,977085758,178775466,975980532,15,15,68063938,977085758,67749324,975980532,1
8,0,1,2,6,8,207739,26852219,207739,26852219,15,16,7308571,281413357,6589779,269876691,15,16,982638232,281413357,982008694,269876691,1
8,1,1,3,6,8,539515,26852219,539515,26852219,16,17,65777139,125653421,59308011,79506755,16,17,471141149,125653421,465599201,79506755,1
8,2,1,4,5,6,14683,276827,14683,276827,15,16,7308571,320353341,6589779,317469175,15,16,408318056,320353341,407752242,317469175,1
9,0,1,2,6,9,623729,214774897,623729,214774897,17,19,391131099,578496052,270922693,87570244,17,19,459715140,578496052,346740646,87570244,1
9,1,1,3,7,9,4273265,214774897,4273265,214774897,17,18,847782780,175388451,817730680,898618924,17,18,716370255,175388451,691824895,898618924,1
9,2,1,4,8,9,11351153,214774897,11351153,214774897,18,19,564524389,578496052,83690763,87570244,18,19,682327053,578496052,333142333,87570244,1
10,0,1,2,7,10,4858195,718067532,4858195,718067530,18,20,276668264,516120932,133965549,998560724,18,20,930642491,516120932,871406848,998560724,1
10,1,1,3,8,10,34054483,718067532,34054483,718067530,19,20,245007181,32241857,102844966,997121439,19,20,343286909,32241857,371282713,997121439,1
10,2,1,4,8,10,34054483,718067532,34054483,718067530,19,20,106673049,516120932,535862196,998560724,19,20,155812913,516120932,170081065,998560724,1
11,0,1,2,8,11,14576633,744139166,14576633,744139140,21,23,689100094,375841238,688800386,246505038,21,23,507868455,375841238,990640247,246505038,1
11,1,1,3,9,11,102165497,744139166,102165497,744139140,22,23,50475201,375841238,49800855,246505038,22,23,925728543,375841238,735838723,246505038,1
11,2,1,4,9,11,272034809,744139166,272034809,744139140,22,23,756400362,375841238,755201526,246505038,22,23,256351825,375841238,65138540,246505038,1
12,0,1,2,9,12,115397611,951897840,115397611,951897622,22,23,234742170,723394964,532140235,685639281,22,23,935943642,723394964,491576350,685639281,1
12,1,1,3,9,12,816108523,951897840,816108523,951897622,22,23,704226510,631193283,596420696,914185708,22,23,213612296,631193283,828688635,914185708,1
12,2,1,4,10,12,175063005,951897840,175063001,951897622,22,23,469484340,361697482,64280461,842819645,22,23,998740742,361697482,507365026,842819645,1
13,0,1,2,9,12,346201025,611511736,346201025,611509978,25,27,94300548,530166061,488493952,942213616,25,27,881216137,530166061,848036784,942213616,1
13,1,1,3,10,12,525197207,611511736,525197195,611509978,25,27,212176233,530166061,99111383,942213616,25,27,807779695,530166061,529645569,942213616,1
13,2,1,4,11,12,396833098,611511736,396833064,611509978,26,27,377202192,530166061,953975799,942213616,25,27,873314903,530166061,114226719,942213616,1
14,0,1,2,10,13,758546229,881031903,758546225,881017831,24,26,195066731,670280953,402387309,554212862,24,26,223846905,670280953,554284030,554212862,1
14,1,1,3,11,13,575607998,881031903,575607960,881017831,25,26,377800286,340561899,310742877,108425715,25,26,757685989,340561899,587849053,108425715,1
14,2,1,4,11,13,438103137,376206382,438103117,376203568,25,26,780266924,670280953,609549227,554212862,25,26,782767692,670280953,510102540,554212862,1
15,0,1,2,8,12,85316201,360979085,85316201,360977925,28,30,817735626,957331316,680062350,930586175,28,30,243626107,957331316,99819934,930586175,1
15,1,1,3,10,12,614140002,360979085,614140000,360977925,28,29,113301716,985777110,10046758,643528728,28,29,77022863,985777110,471310967,643528728,1
15,2,1,4,11,14,498168240,2994200,498168074,2971682,29,30,270942483,957331316,720249382,930586175,29,30,458393740,957331316,51072688,930586175,1
16,0,1,2,11,15,105322381,19718867,105322249,18818147,29,31,923295380,817339302,703014130,906448172,29,31,650512628,817339302,224138059,906448172,1
16,1,1,3,13,15,472589087,19718867,472586583,18818147,30,32,309658364,269357187,327127116,625792661,30,32,577244927,269357187,564520063,625792661,1
16,2,1,4,13,15,826680334,19718867,826673656,18818147,29,31,923295380,704334829,703014130,226612043,29,31,374869921,704334829,785996244,226612043,1
