layer,object,invariant,value,role,game_meaning
finite source,H8^⊕3 → G24,42 → 18 → 6 → 0,root-killing chain,constructs the Golay endpoint from three Hamming/Fano layers,source rule-set before play
code algebra,A985 = Code(d20),orbitals,985,full finite dereference algebra,hidden preceptual multiplication board
code algebra,A985,nonzero tensor products,"1,414,965",sparse multiplication tensor T985,legal hidden product transitions
code algebra,A985,center dimension,39,central sector atlas,global scoring/obstruction sectors
readout/transport stack,A985 bulk; A236 native branching/fusion; A42/A12 terminal quotient readouts,weakened finite interface,"985,236,42,12",dereference plus branching/fusion plus quotient shadows plus retained hidden transports,hidden board → strategy layer → signed sheet layer → terminal readout with hidden support memory
d20 faces,F20 = Λ^3 H6,face states,20,d20 state positions,visible game positions
D6 selector,PΦ(D6) → Edges(Λ^3 H6),duads and edges,15 duads → 30 edges,marked D6-polarity selector,legal adjacency/move graph
graph,Γ_d20,"vertices, edges, degree","20 vertices, 30 edges, 3-regular",finite transition geometry,board topology
graph,Γ_d20,"connected, girth, diameter",connected; girth 5; diameter 5,global reachability and pentagonal primitive loops,all positions reachable; minimal closed tactical loops are pentagons
H-cycle homology,H1(Γ_d20; Z),cycle rank,11,primitive independent H-cycles,11 independent closed tactics / memory residues
configuration space,S20,order,"20! = 2,432,902,008,176,640,000",all d20 permutations,complete state universe
configuration atlas,S20 / conjugacy,cycle-type classes,627,compressed permutation atlas,macro-strategy classes
connection,A42 transport,Γ_ijk,"{144,192,384,512,576,768}",finite path connection coefficients,medium-dependent move cost
address weights,H6,w_i,"B-=384, B+=192, V-=144, V+=576, S-=512, S+=768",six finite media,terrain/refraction weights
entropy packet,closed order-5 d20 packet,5ε0/(4|W(D6)|),32,finite Planck-cell analogue,closed tactical loop scores 32 entropy units
hidden obstruction,sector 33,χ_coor(1),e33,public-zero tube-visible obstruction,hidden trap/advantage invisible to terminal readout
proof/game integrity,C/V/X,integrity trichotomy,"C public, V wall-crossing, X extractor",stratifies allowed solvers/players,"ordinary move, certified wall move, external hidden extractor"
