i,j,builder_composition_relerr,jabber_composition_relerr
0,0,1.9026328450063021,25.94355958464265
0,1,0.44203894398784216,0.44443140154336075
0,2,0.05860561088182291,0.05512574790622426
0,3,1.5056092362881748,1.467986256655981
0,4,8.687199700040996e-16,5.382942403474674e-14
0,5,3.762939169530104e-15,2.1879239664359298e-14
0,6,8.359532204585569e-15,1.0122848752805839e-13
0,7,2.481499925045553e-15,2.4251333747489755e-14
0,8,5.003120530069209e-15,2.507865033254561e-14
1,0,0.4420389439878421,0.44443140154334987
1,1,1.9026328450063033,25.943559584642564
1,2,0.06321482050365729,0.06572047661516574
1,3,1.5852023927266243,1.767118237968389
1,4,1.2812669743548551e-15,6.835103754540067e-14
1,5,4.457196099430608e-15,2.0109315221304327e-14
1,6,7.542480123344837e-16,1.1562488391285187e-14
1,7,7.777563186124476e-15,8.217665997162632e-14
1,8,7.559277497079599e-16,1.2512764823362199e-14
2,0,0.05860561088182282,0.055125747906193144
2,1,0.0632148205036571,0.06572047661520264
2,2,1.1891455281289656,16.214724740420163
2,3,0.3323760199171229,0.3480824536251583
2,4,1.6166418068587898e-15,4.1807552962118476e-14
2,5,0.07599772157416428,0.059220796025240496
2,6,0.075997721574167,0.05922079602520462
2,7,0.08160014761278982,0.06691080187158706
2,8,0.08160014761279025,0.06691080187158271
3,0,0.011420502306368301,0.005896484736448933
3,1,0.01131891956923017,0.005907859815679058
3,2,0.022999802596070713,0.021585035578167662
3,3,10.994447195407545,145.35930067310517
3,4,2.2920115178777966e-15,6.140576074247541e-14
3,5,0.08432514095494172,0.08501736715288877
3,6,0.2053275669843851,0.23629755784078207
3,7,0.12561421653821278,0.11975298182030777
3,8,0.1256142165382132,0.11975298182029949
4,0,9.026890552684798e-16,3.559394452544411e-14
4,1,1.5292898270724704e-15,8.712785487004042e-14
4,2,1.8879253117005833e-15,4.183944540497697e-14
4,3,1.9550843338355295e-15,3.078358480745076e-14
4,4,7.241681304086326e-15,2.039282474621956e-12
4,5,1.2763234746382966e-14,1.0179042346689623e-13
4,6,1.4036352981989743e-15,1.7848763261833738e-14
4,7,9.079051520014355e-15,1.7792933225186238e-14
4,8,1.695837915374345e-15,1.725212854233939e-14
5,0,8.375010495810933e-16,1.1456705045259977e-14
5,1,6.739922069004455e-16,1.5495156394899012e-14
5,2,0.08262021365557443,0.0670298331729067
5,3,0.9671713033493565,0.8761777051459366
5,4,1.1766206199696098e-15,3.02519216454835e-14
5,5,0.9568013441999317,7.413190960200558
5,6,0.2803531232279142,0.25042757663432813
5,7,0.2803531232279179,0.25042757663457554
5,8,0.2803531232279144,0.2504275766345922
6,0,8.490367198709128e-16,1.2002586287933529e-14
6,1,7.195235542392016e-16,1.6615048894419242e-14
6,2,0.08262021365557441,0.06702983317291125
6,3,0.9500153769146503,0.8732477999034167
6,4,1.2283601130997728e-15,2.957199646296562e-14
6,5,0.2803531232279101,0.2504275766350939
6,6,0.9568013441999347,7.413190960198804
6,7,0.2803531232279193,0.25042757663437915
6,8,0.2803531232279157,0.25042757663441856
7,0,8.108614053247684e-16,1.1925024286462878e-14
7,1,7.499783011310071e-16,2.1012120048209158e-14
7,2,0.07594602476478104,0.059310404400477926
7,3,1.034954061485876,1.1474521027147757
7,4,1.170894541489783e-15,3.9950446340110707e-14
7,5,0.28035312322791106,0.25042757663477094
7,6,0.2803531232279165,0.25042757663394
7,7,0.9568013441999358,7.413190960199186
7,8,0.28035312322791656,0.25042757663408993
8,0,7.861077760699846e-16,1.1503256250487512e-14
8,1,6.19537343555865e-16,1.7636330819991845e-14
8,2,0.0759460247647809,0.059310404400468315
8,3,1.0349540614858759,1.1474521027147542
8,4,1.1024830662137406e-15,3.6389459146533734e-14
8,5,0.28035312322791045,0.25042757663484755
8,6,0.28035312322791567,0.2504275766340577
8,7,0.28035312322791955,0.250427576634213
8,8,0.9568013441999339,7.413190960198107
